               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.04319,            0.023059,            0.037397,             0.44574,              0.1719,             0.14083,            0.067493,              0.0639,           0.0092669,             0.05672,            0.007624,            0.007624,            0.007624
                  38,            0.042329,            0.022166,              0.0362,                0.53,             0.16949,             0.13385,            0.053505,            0.060688,           0.0089663,            0.054913,            0.007558,            0.007558,            0.007558
                  39,            0.044137,            0.023035,            0.036079,             0.38585,             0.15418,             0.13504,            0.059378,            0.049594,           0.0086438,            0.057452,            0.007492,            0.007492,            0.007492
                  40,            0.043158,            0.022942,            0.034222,             0.49874,             0.14637,             0.15629,            0.067414,            0.053921,           0.0081303,            0.039256,            0.007426,            0.007426,            0.007426
                  41,            0.041208,            0.021957,            0.034036,             0.58112,             0.20345,              0.1794,            0.075002,            0.058386,           0.0082648,            0.051442,             0.00736,             0.00736,             0.00736
                  42,            0.042052,            0.022143,            0.034658,             0.48096,             0.18811,             0.17359,            0.070552,            0.061335,           0.0087786,            0.072396,            0.007294,            0.007294,            0.007294
                  43,            0.042288,            0.022318,            0.033866,             0.48112,             0.18007,             0.15319,            0.063886,            0.055587,           0.0090082,            0.060032,            0.007228,            0.007228,            0.007228
                  44,            0.041004,            0.021385,            0.032948,             0.41314,             0.15048,             0.13381,            0.048615,            0.054394,           0.0089442,            0.064996,            0.007162,            0.007162,            0.007162
                  45,            0.041148,            0.021787,            0.031613,              0.5325,             0.13446,             0.15168,            0.058887,            0.057099,            0.008918,            0.070749,            0.007096,            0.007096,            0.007096
                  46,            0.041448,            0.021829,            0.031545,             0.53327,             0.11867,             0.14773,            0.057321,            0.060186,           0.0090659,            0.072232,             0.00703,             0.00703,             0.00703
                  47,            0.041641,            0.022865,            0.031998,             0.61459,             0.18089,             0.16423,            0.066902,            0.052041,           0.0087218,            0.070609,            0.006964,            0.006964,            0.006964
                  48,            0.040366,            0.022122,            0.031597,              0.2893,             0.14656,             0.13828,            0.067692,            0.048248,           0.0092278,            0.066222,            0.006898,            0.006898,            0.006898
                  49,            0.040222,            0.022266,            0.030957,             0.67106,             0.14073,             0.16396,            0.070852,            0.049996,           0.0092516,            0.054153,            0.006832,            0.006832,            0.006832
                  50,            0.040056,            0.021409,            0.030803,             0.60715,             0.13709,             0.17537,            0.076386,            0.052161,           0.0084627,            0.067149,            0.006766,            0.006766,            0.006766
                  51,            0.040576,            0.021264,            0.029806,             0.60838,             0.20176,             0.22712,             0.10253,             0.05208,           0.0088285,            0.055786,              0.0067,              0.0067,              0.0067
                  52,            0.040417,            0.021457,            0.028781,                0.65,             0.10656,             0.20975,             0.09555,            0.062808,           0.0085924,            0.054856,            0.006634,            0.006634,            0.006634
                  53,            0.040557,            0.019799,             0.02863,             0.63967,            0.094795,             0.17105,            0.072055,            0.058576,           0.0089343,            0.056293,            0.006568,            0.006568,            0.006568
                  54,            0.040065,            0.020466,            0.028073,             0.64901,             0.11472,             0.15683,            0.068163,            0.060512,           0.0090741,            0.051164,            0.006502,            0.006502,            0.006502
                  55,            0.040132,            0.021197,            0.027868,             0.34495,             0.26719,             0.18338,             0.06721,            0.049616,           0.0096257,            0.041754,            0.006436,            0.006436,            0.006436
                  56,            0.040655,            0.021772,             0.02709,              0.6079,             0.15514,             0.23433,             0.10842,            0.049402,           0.0088136,            0.049026,             0.00637,             0.00637,             0.00637
                  57,            0.039778,             0.02083,            0.027134,             0.65143,             0.14232,             0.26172,             0.12343,            0.045838,           0.0087947,            0.071938,            0.006304,            0.006304,            0.006304
                  58,            0.038125,            0.020703,            0.026038,             0.68956,             0.13362,              0.2407,             0.13445,            0.057198,           0.0085042,            0.062365,            0.006238,            0.006238,            0.006238
                  59,            0.039895,            0.021306,            0.027472,             0.57573,             0.22043,             0.23914,             0.13445,            0.060802,           0.0085511,            0.067442,            0.006172,            0.006172,            0.006172
                  60,             0.03934,            0.020512,            0.025254,             0.61241,             0.10594,              0.1688,            0.087382,            0.061038,           0.0088801,            0.056082,            0.006106,            0.006106,            0.006106
                  61,            0.038879,            0.020383,            0.024347,             0.48723,             0.19627,             0.17995,            0.087956,            0.061724,           0.0088729,            0.047381,             0.00604,             0.00604,             0.00604
                  62,              0.0383,            0.021477,            0.024812,             0.70485,             0.11878,             0.19858,            0.084825,            0.061169,           0.0090433,            0.057946,            0.005974,            0.005974,            0.005974
                  63,            0.037601,            0.020724,             0.02426,             0.59049,             0.21573,             0.17472,            0.074021,            0.061709,           0.0092907,            0.079694,            0.005908,            0.005908,            0.005908
                  64,            0.037591,            0.020521,            0.025598,             0.65249,              0.1651,             0.17258,             0.07361,             0.05727,           0.0095369,            0.061412,            0.005842,            0.005842,            0.005842
                  65,            0.037181,            0.019089,            0.022709,             0.28444,             0.16134,             0.16607,            0.077955,            0.054337,           0.0089746,            0.069358,            0.005776,            0.005776,            0.005776
                  66,            0.037224,            0.019109,            0.024292,             0.25602,             0.18283,             0.18728,            0.082498,            0.049327,           0.0094968,            0.081059,             0.00571,             0.00571,             0.00571
                  67,            0.036924,             0.01998,            0.023268,             0.25491,             0.20814,             0.16359,            0.071587,            0.045256,           0.0093096,            0.076661,            0.005644,            0.005644,            0.005644
